Epoch [1/20], Train Loss: 0.4512, Train Accuracy: 84.11%, Test Loss: 0.3242, Test Accuracy: 88.09%
Epoch [2/20], Train Loss: 0.3173, Train Accuracy: 88.47%, Test Loss: 0.2757, Test Accuracy: 89.71%
Epoch [3/20], Train Loss: 0.2759, Train Accuracy: 90.05%, Test Loss: 0.2793, Test Accuracy: 89.94%
Epoch [4/20], Train Loss: 0.2478, Train Accuracy: 90.96%, Test Loss: 0.2695, Test Accuracy: 90.28%
Epoch [5/20], Train Loss: 0.2256, Train Accuracy: 91.68%, Test Loss: 0.2577, Test Accuracy: 90.57%
Epoch [6/20], Train Loss: 0.2074, Train Accuracy: 92.36%, Test Loss: 0.2379, Test Accuracy: 91.57%
Epoch [7/20], Train Loss: 0.1908, Train Accuracy: 92.92%, Test Loss: 0.2453, Test Accuracy: 91.00%
Epoch [8/20], Train Loss: 0.1714, Train Accuracy: 93.65%, Test Loss: 0.2306, Test Accuracy: 91.72%
Epoch [9/20], Train Loss: 0.1549, Train Accuracy: 94.27%, Test Loss: 0.2277, Test Accuracy: 91.72%
Epoch [10/20], Train Loss: 0.1415, Train Accuracy: 94.76%, Test Loss: 0.2341, Test Accuracy: 91.74%
Epoch [11/20], Train Loss: 0.1249, Train Accuracy: 95.30%, Test Loss: 0.2545, Test Accuracy: 91.66%
Epoch [12/20], Train Loss: 0.1120, Train Accuracy: 95.84%, Test Loss: 0.2521, Test Accuracy: 92.02%
Epoch [13/20], Train Loss: 0.0994, Train Accuracy: 96.31%, Test Loss: 0.2555, Test Accuracy: 92.18%
Epoch [14/20], Train Loss: 0.0884, Train Accuracy: 96.70%, Test Loss: 0.2679, Test Accuracy: 92.15%
Epoch [15/20], Train Loss: 0.0794, Train Accuracy: 97.10%, Test Loss: 0.2807, Test Accuracy: 91.68%
Epoch [16/20], Train Loss: 0.0703, Train Accuracy: 97.46%, Test Loss: 0.2674, Test Accuracy: 92.43%
Epoch [17/20], Train Loss: 0.0623, Train Accuracy: 97.72%, Test Loss: 0.2861, Test Accuracy: 92.07%
Epoch [18/20], Train Loss: 0.0563, Train Accuracy: 97.95%, Test Loss: 0.3179, Test Accuracy: 92.02%
Epoch [19/20], Train Loss: 0.0517, Train Accuracy: 98.11%, Test Loss: 0.3059, Test Accuracy: 92.11%
Epoch [20/20], Train Loss: 0.0477, Train Accuracy: 98.29%, Test Loss: 0.3219, Test Accuracy: 92.42%
